Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560238
FDW14,OUT017,1591.7612740786326
NCN55,OUT010,1822.6726586170007
FDQ58,OUT017,2546.3629591573936
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.6371302122504
FDL48,OUT018,680.8000272442432
FDC48,OUT027,2806.0427441358875
FDN33,OUT045,1541.2477558067708
FDA36,OUT017,3051.6757355410964
FDT44,OUT017,2004.9816551032454
FDQ56,OUT045,1358.1533406290982
NCC54,OUT019,1819.7081624356474
FDU11,OUT049,2076.750193350653
DRL59,OUT013,963.7365800429814
FDM24,OUT049,2541.571606499629
FDI57,OUT045,3047.575103091968
DRC12,OUT018,2726.590331793126
NCM42,OUT027,3196.322082094338
FDA46,OUT010,1129.0865932092904
FDA31,OUT013,2782.8531016284624
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629381
NCL19,OUT019,383.67497397229306
FDS10,OUT035,2986.4040703131777
FDX22,OUT010,1453.2700642602717
NCF19,OUT035,998.5313152811398
NCE06,OUT046,2519.8296088661214
DRC27,OUT046,3768.666066789687
FDE21,OUT035,2044.9750562281502
NCR42,OUT019,-1251.1341145471433
FDX51,OUT018,2840.7076836527976
NCR06,OUT018,510.71347688105084
FDU31,OUT027,4872.661618212021
FDU59,OUT017,2684.937811854626
FDR03,OUT027,4667.855182836751
FDS49,OUT027,2769.5521447021074
FDD48,OUT010,-11.74285333776345
NCF18,OUT017,3083.5092213649114
NCD43,OUT027,3104.41408540025
NCD54,OUT018,2007.8274969877755
FDY19,OUT010,23.568113246544158
NCY54,OUT017,2783.2415589678117
NCL19,OUT018,2023.5214175263475
FDP23,OUT010,1509.365342827417
FDC26,OUT013,1848.579492075245
FDR14,OUT010,-931.0749455928535
NCS41,OUT035,2986.6196676007453
FDF41,OUT035,3971.3364664503206
FDU34,OUT046,2004.568317313599
DRH11,OUT046,984.1695289641902
FDM03,OUT013,1734.303406405877
FDS31,OUT017,2964.893326909249
FDJ20,OUT017,2116.7529678965666
FDV44,OUT027,4427.7848089620775
FDG02,OUT049,3080.3282714018824
FDA09,OUT013,2877.9901004558055
FDT04,OUT013,743.8136889644139
FDL58,OUT019,2224.430519922794
FDE52,OUT045,1472.297911994053
FDW12,OUT035,2500.3276177547996
FDL51,OUT017,3499.1716317514506
NCY42,OUT027,3669.3541994592997
FDR07,OUT017,1704.3865411049355
FDN40,OUT045,2341.925789890121
FDB35,OUT027,2975.9387231789156
FDA22,OUT017,2708.401927647029
NCL06,OUT046,4020.0931885843816
FDI35,OUT013,2889.3869050858075
NCW42,OUT045,3358.986753706943
