Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1571.9725105893124
FDW14,OUT017,1451.6776844889187
NCN55,OUT010,571.7482116398008
FDQ58,OUT017,2501.7524401843793
FDY38,OUT027,5852.45749040875
FDH56,OUT046,1931.2367871837725
FDL48,OUT018,719.5444602652428
FDC48,OUT027,2159.8673084607467
FDN33,OUT045,1530.75768925628
FDA36,OUT017,3049.130567162233
FDT44,OUT017,1959.2519322652424
FDQ56,OUT045,1441.4856321543277
NCC54,OUT019,572.3647850313828
FDU11,OUT049,2021.4589953026527
DRL59,OUT013,832.4892605303717
FDM24,OUT049,2487.8387876857505
FDI57,OUT045,3095.699076835794
DRC12,OUT018,3051.180737855045
NCM42,OUT027,2909.0352019056127
FDA46,OUT010,510.6679621732446
FDA31,OUT013,2852.143359080065
NCJ31,OUT035,3897.3827018577663
FDG52,OUT046,726.7604079108631
NCL19,OUT019,286.2775454670394
FDS10,OUT035,3011.3386687039
FDX22,OUT010,565.4349030780443
NCF19,OUT035,723.8290958810471
NCE06,OUT046,2558.2834468812184
DRC27,OUT046,3889.7438587066817
FDE21,OUT035,1931.2367871837725
NCR42,OUT019,131.83991171517803
FDX51,OUT018,3051.180737855045
NCR06,OUT018,665.5945994614343
FDU31,OUT027,5856.347335187617
FDU59,OUT017,2560.7042814493248
FDR03,OUT027,5856.347335187617
FDS49,OUT027,2038.7282319630842
FDD48,OUT010,266.02758985190974
NCF18,OUT017,3051.180737855045
NCD43,OUT027,2870.412706529295
NCD54,OUT018,2117.0288497729703
FDY19,OUT010,266.02758985190974
NCY54,OUT017,2852.143359080065
NCL19,OUT018,2467.7041771345534
FDP23,OUT010,568.784726562471
FDC26,OUT013,1705.2131367884087
FDR14,OUT010,131.83991171517803
NCS41,OUT035,3047.169476388209
FDF41,OUT035,3893.313133021825
FDU34,OUT046,2024.0446195462634
DRH11,OUT046,954.6362517933018
FDM03,OUT013,1571.9725105893124
FDS31,OUT017,3016.3688697503617
FDJ20,OUT017,2021.4589953026527
FDV44,OUT027,5181.271989878646
FDG02,OUT049,3049.130567162233
FDA09,OUT013,2977.8293134318606
FDT04,OUT013,709.1006498742792
FDL58,OUT019,571.1680414052357
FDE52,OUT045,1492.0822966678813
FDW12,OUT035,2470.047666402552
FDL51,OUT017,3697.332761167207
NCY42,OUT027,2984.872359624296
FDR07,OUT017,1530.75768925628
FDN40,OUT045,2496.1541667335014
FDB35,OUT027,2745.2278383607004
FDA22,OUT017,2565.4934712240947
NCL06,OUT046,4042.5871517189435
FDI35,OUT013,3016.3688697503617
NCW42,OUT045,3759.6958771098452
NCX06,OUT049,2986.311224303568
FDC37,OUT027,2893.99836084558
FDZ14,OUT018,2021.4589953026527
DRG49,OUT049,3888.7726827638726
NCG06,OUT045,4039.786463942308
DRC36,OUT045,2852.143359080065
FDV21,OUT019,280.2610716883879
FDB53,OUT046,2484.391681017387
DRP47,OUT019,569.7791679497138
FDA14,OUT013,2484.391681017387
DRC24,OUT035,2496.1541667335014
FDW21,OUT018,1559.9067884651004
NCH29,OUT046,1530.75768925628
FDU58,OUT013,3049.130567162233
FDY27,OUT017,2887.3054624578594
FDV56,OUT035,1579.561069723689
FDT59,OUT046,3841.3721038855006
FDB23,OUT046,3777.3079704889446
FDR49,OUT045,723.936823910831
FDB03,OUT010,572.3647850313828
FDN39,OUT045,2565.4934712240947
FDX02,OUT027,5854.683514415375
FDQ16,OUT027,2889.860485008413
FDU35,OUT018,1535.446548335744
NCT29,OUT013,2021.4589953026527
FDZ27,OUT046,726.7604079108631
FDN57,OUT017,2027.0246596482189
FDA03,OUT018,2482.048191749388
FDZ36,OUT045,3049.130567162233
NCU05,OUT013,1453.3996240867968
FDT39,OUT018,2483.547690006004
FDK60,OUT017,1530.75768925628
FDZ25,OUT017,2744.9000669820603
FDG12,OUT046,2021.4589953026527
DRB01,OUT019,506.9510512300609
NCC43,OUT027,5852.45749040875
FDX13,OUT019,568.5646459946678
FDM22,OUT049,871.0209693475114
FDJ03,OUT027,1053.9585417550077
FDU14,OUT018,3828.2741964251663
FDB33,OUT010,383.03183686423216
FDP27,OUT046,3049.130567162233
FDO38,OUT010,154.08250374486056
FDE28,OUT027,5852.45749040875
FDO27,OUT035,1528.0319940167026
DRL23,OUT027,2889.860485008413
FDS28,OUT046,950.345141374955
FDX24,OUT013,1532.64505017317
FDZ02,OUT035,1530.75768925628
FDL46,OUT045,1931.2367871837725
FDS60,OUT027,4768.013200292973
NCO06,OUT017,659.1457129734081
FDO16,OUT035,1430.3581988027777
FDC60,OUT049,1452.885570546583
FDA48,OUT018,3531.443470728259
FDZ36,OUT027,5169.873685482096
FDK27,OUT045,2021.4589953026527
FDW23,OUT018,662.226544558323
FDM14,OUT018,1655.156288943924
FDM14,OUT013,1574.6045649256807
FDW60,OUT018,2884.9619731898606
FDE21,OUT013,1931.2367871837725
NCM42,OUT035,1579.561069723689
FDY59,OUT010,231.3217091110773
DRI49,OUT049,1346.4187629145326
FDT28,OUT019,365.85153480102866
FDQ22,OUT018,663.186562903676
FDR60,OUT049,1290.051082436653
FDC50,OUT019,239.1948955455542
FDV24,OUT013,2487.8387876857505
DRF48,OUT010,493.02047269858093
FDQ47,OUT046,668.2847635308448
DRN36,OUT049,1530.75768925628
NCY06,OUT035,2024.0446195462634
FDE52,OUT035,1490.45255259057
NCB54,OUT045,2024.0446195462634
NCF31,OUT035,2496.1541667335014
FDJ08,OUT027,5202.793331233306
NCC07,OUT017,1571.9725105893124
NCD19,OUT027,1233.6406270162936
FDL46,OUT049,1976.3178996443396
FDM20,OUT045,3938.419360117623
NCI06,OUT010,451.76088221466955
DRM11,OUT035,4055.5485871123856
NCH07,OUT018,2544.5746509582045
FDS23,OUT013,2024.0446195462634
FDO49,OUT018,719.5444602652428
FDS35,OUT049,1065.8283917985877
DRK39,OUT045,1392.5289753425543
DRI39,OUT049,927.8252027858335
FDV04,OUT017,2544.2420354117717
NCN14,OUT035,3047.169476388209
FDH08,OUT013,3826.7568657991033
FDS20,OUT046,3047.169476388209
FDV40,OUT049,1131.8716411161388
FDZ48,OUT010,257.333720597057
FDS24,OUT027,2578.868132360259
FDK44,OUT049,2852.143359080065
FDS48,OUT045,2484.391681017387
FDK26,OUT010,495.542901326494
FDD23,OUT045,3049.130567162233
NCH54,OUT017,2558.2834468812184
NCP14,OUT010,243.2928781007788
FDM60,OUT010,131.83991171517803
FDV24,OUT017,2485.891179274003
FDH08,OUT018,3623.4332402844234
FDS12,OUT027,2962.2384427351126
FDR39,OUT027,4854.99639893397
FDP12,OUT027,998.441202943293
DRF60,OUT027,5858.573359194242
FDC09,OUT035,1569.538893074189
FDF50,OUT018,3055.2078152412323
FDG28,OUT035,3938.419360117623
NCE19,OUT017,914.6052873198719
NCM53,OUT010,247.16784766714773
NCN18,OUT049,1681.5610508473806
FDF32,OUT035,3111.1214635214474
FDF11,OUT013,3925.7479196580334
DRI59,OUT049,3791.6391886304705
NCG54,OUT035,2749.837141583339
FDM44,OUT046,1562.233933559034
FDT57,OUT018,3698.456594220843
FDV24,OUT046,2485.891179274003
FDI50,OUT019,569.9533409032578
FDS09,OUT035,736.6477458566758
NCC31,OUT027,4091.8965007471256
FDQ07,OUT019,571.6114035698786
FDC22,OUT017,3051.180737855045
FDZ56,OUT046,2744.9000669820603
FDZ40,OUT019,131.83991171517803
FDS46,OUT027,2932.7448571820355
DRD24,OUT045,2032.5424563934139
FDV45,OUT017,3049.130567162233
FDL26,OUT045,2501.7524401843793
FDA56,OUT018,2021.4589953026527
FDN27,OUT046,1943.1095701712923
FDM20,OUT049,3926.355597681491
FDO16,OUT017,1392.5289753425543
FDL03,OUT035,3051.180737855045
FDE58,OUT046,1931.2367871837725
FDI02,OUT027,2923.624705033842
NCC55,OUT019,131.83991171517803
FDR03,OUT018,3342.0060294829586
FDB14,OUT017,1519.6962787951456
FDR45,OUT013,3927.972499088015
NCN07,OUT017,2024.0446195462634
FDM51,OUT019,251.57017202466423
FDT52,OUT027,5856.347335187617
FDL26,OUT046,2499.04776847975
NCZ42,OUT046,3907.149432973265
DRI47,OUT019,366.847842503498
FDW40,OUT013,2039.9323282458665
FDN34,OUT046,2744.9000669820603
FDS01,OUT035,2907.586474896829
NCG55,OUT045,1931.2367871837725
FDC11,OUT035,1451.6776844889187
FDX35,OUT018,3587.060244647139
NCB06,OUT046,2549.0321517973503
FDR09,OUT019,570.532549411218
FDC53,OUT017,1530.75768925628
FDY45,OUT013,4031.594561314468
FDA22,OUT010,385.8208471463594
FDE02,OUT035,1528.0319940167026
FDW21,OUT045,1559.9067884651004
FDV34,OUT046,1141.0118311641556
FDS59,OUT049,1579.561069723689
NCW17,OUT017,2024.0446195462634
NCK54,OUT046,1931.2367871837725
FDG17,OUT019,569.9533409032578
FDG35,OUT017,2852.143359080065
FDD08,OUT010,131.83991171517803
NCO07,OUT017,3697.332761167207
FDJ10,OUT010,276.5620978354548
FDW36,OUT017,1569.538893074189
FDW21,OUT010,241.85472439307966
FDY19,OUT017,1938.5795184084209
DRE03,OUT013,766.705549672969
NCC55,OUT049,669.8268228748664
FDH52,OUT010,134.6849572948054
FDO09,OUT017,4052.00085633599
FDU43,OUT045,3925.953448397335
FDX09,OUT010,419.9514298335206
FDH40,OUT019,195.60809073097585
FDW58,OUT017,1571.9725105893124
FDC47,OUT017,3787.4357804015494
NCR41,OUT035,1528.0319940167026
DRG49,OUT035,3900.836445200004
FDC52,OUT027,4073.954021493299
FDY13,OUT046,1161.2049748686027
FDY35,OUT013,718.8297436001211
FDI35,OUT017,3035.05026935797
NCU18,OUT049,2039.9323282458665
FDY33,OUT018,2544.5746509582045
FDC15,OUT027,4191.279574472177
